id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	genre
10SRMwb9EuVS1K9rYsBfHQ	0.559	0.885	1	-4.515	1	0.189	0.0432	0	0.333	0.683	172.029	193594	4	pop
73fFRs03s0gtjggfMW213L	0.848	0.432	0	-10.262	0	0.0385	0.761	2.5e-05	0.149	0.656	120.0	218250	4	pop
6VXVYATpQXEIoZ97NnWCmn	0.775	0.358	9	-6.473	0	0.0527	0.861	0	0.415	0.524	139.982	241920	4	pop
2pIUpMhHL6L9Z5lnKxJJr9	0.811	0.648	10	-3.684	0	0.0368	0.236	0	0.0761	0.695	104.988	180067	4	pop
69xohKu8C1fsflYAiSNbwM	0.724	0.818	8	-3.747	1	0.168	0.0201	0	0.0358	0.696	77.004	204940	4	pop
3QwiidVHfeE9y5jl4n2MTC	0.709	0.809	2	-3.198	0	0.0541	0.312	0	0.0899	0.788	111.01	178453	4	pop
7eDrdQ7PK9Xm1CZCKWsgmH	0.559	0.465	10	-6.219	1	0.0241	0.524	1.07e-06	0.12	0.324	79.961	276500	4	pop
7opF2QJ8gzlxbV0eBIqszE	0.757	0.656	1	-6.285	0	0.0367	0.211	1.81e-06	0.103	0.502	105.99	181132	4	pop
4yNk9iz9WVJikRFle3XEvn	0.515	0.593	4	-4.801	1	0.0322	0.653	0.162	0.25	0.153	94.467	209260	3	pop
2m6Ko3CY1qXNNja8AlugNc	0.559	0.559	11	-6.425	1	0.0358	0.0145	0	0.138	0.338	72.498	220780	4	pop
39TAKt2hL8sdhVTFCNfm2Y	0.809	0.49	10	-7.08	0	0.0388	0.839	0	0.117	0.353	99.967	233249	4	pop
6jcG3yZ0e2CSI6omkYO1ut	0.764	0.51	2	-7.47	1	0.0757	0.542	0	0.112	0.616	105.024	178286	4	pop
41aMYNen9G7uUbqLfV65cF	0.77	0.386	9	-10.33	1	0.114	0.471	3.12e-05	0.322	0.431	111.998	165000	4	pop
65FftemJ1DbbZ45DUfHJXE	0.804	0.771	9	-4.067	0	0.0433	0.357	3.07e-06	0.108	0.739	126.956	212253	4	pop
3nqQXoyQOWXiESFLlDF1hG	0.714	0.472	2	-7.375	1	0.0864	0.013	4.51e-06	0.266	0.238	131.121	156943	4	pop
0o9zmvc5f3EFApU52PPIyW	0.6	0.76	6	-6.124	0	0.0452	0.166	4.09e-05	0.189	0.519	158.078	185573	4	pop
0zCGKGZB5aySnQQSHWRGIT	0.613	0.5	10	-8.349	1	0.0277	0.547	0.000181	0.327	0.342	99.998	218027	4	pop
3OHfY25tqY28d16oZczHc8	0.644	0.728	8	-5.75	1	0.0351	0.0543	0.169	0.161	0.43	88.993	153947	4	pop
5cvW3PYJeQjRTnj9vHP5Va	0.81	0.822	5	-4.498	1	0.0449	0.266	0	0.0941	0.664	114.004	190526	4	pop
4LDhkOharOhue7nZMFYmCu	0.696	0.412	9	-7.071	1	0.0523	0.518	0	0.0657	0.304	80.015	228750	4	pop
3b34161QoxLwsqhWSPy9i5	0.676	0.4	7	-10.771	0	0.0405	0.855	2.71e-06	0.124	0.347	90.028	220510	4	pop
