id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	genre
3lOMJTQTd6J34faYwASc33	0.795	0.859	2	-2.994	1	0.0542	0.0361	0	0.0321	0.356	96.986	168107	4	pop
0So2sgVa8aJiARPl2P29u2	0.725	0.446	4	-8.958	0	0.0287	0.85	0.243	0.107	0.311	90.024	187333	4	pop
5sbooPcNgIE22DwO0VNGUJ	0.566	0.769	7	-4.342	1	0.0872	0.0183	0	0.108	0.385	170.036	191100	4	pop
5rZlwNFl01HqLWBQGryKSm	0.48	0.602	10	-6.335	0	0.368	0.487	0	0.0848	0.269	179.798	213333	4	pop
0PvFJmanyNQMseIFrU708S	0.823	0.586	6	-6.606	0	0.2	0.114	0	0.193	0.347	125.971	190476	4	pop
1mcgxXkPeUN9wXwEex3poW	0.625	0.488	2	-8.624	0	0.0461	0.118	2.84e-05	0.115	0.381	159.991	160500	4	pop
6EDO9iiTtwNv6waLwa1UUq	0.8	0.56	5	-4.818	0	0.261	0.057	0	0.134	0.45	163.071	200221	4	pop
1tkg4EHVoqnhR6iFEXb60y	0.709	0.548	10	-8.493	1	0.353	0.65	1.59e-06	0.133	0.543	83.995	160000	4	pop
79s5XnCN4TJKTVMSmOx8Ep	0.548	0.805	7	-5.732	1	0.351	0.212	0.000389	0.408	0.648	142.094	216387	4	pop
5C9JlYhuv96JQXyXuxYsB2	0.392	0.579	7	-9.195	1	0.164	0.835	0.00179	0.145	0.549	80.961	214707	4	pop
4oZ2zPShqeAOpBBNeAFS3r	0.584	0.547	7	-8.502	0	0.382	0.655	1.64e-06	0.134	0.56	83.917	160000	4	pop
32lrGkkS16PzwEZnQ1lgOM	0.602	0.528	1	-7.152	0	0.0556	0.11	0	0.157	0.455	133.851	260256	4	pop
2gpwaAJnSDTevgZa4uyM0H	0.819	0.709	4	-5.351	0	0.0382	0.314	0	0.13	0.638	126.001	179867	4	pop
3y9lzNAwMYNgpkqJYIrm0q	0.612	0.58	0	-8.572	0	0.0419	0.525	0.000414	0.26	0.534	130.045	239560	4	pop
1BBJo8KZuRUMwBOj69mWuG	0.602	0.528	1	-7.152	0	0.0556	0.11	0	0.157	0.455	133.851	260256	4	pop
2Dnvsf30e5dDMxb4Yt57NA	0.468	0.608	1	-4.938	1	0.0363	0.191	0	0.304	0.146	134.096	228373	3	pop
3cIjeDpRUFiKU5tDXEY7Aw	0.891	0.67	0	-7.256	1	0.135	0.203	0.00273	0.11	0.938	128.046	184222	4	pop
67FrdkxOyQsyCKidBnCi8E	0.602	0.528	1	-7.152	0	0.0556	0.11	0	0.157	0.455	133.851	260256	4	pop
1XgY9LzswfC0eJFybQ2Ywl	0.392	0.579	7	-9.195	1	0.164	0.835	0.00179	0.145	0.549	80.961	214707	4	pop
5IatMb7tZdKBSd5ro6R8ic	0.512	0.796	1	-4.075	1	0.0645	0.00147	0.000209	0.0938	0.344	171.014	201573	4	pop
2HdgAjQMeTBuGNCNPETL1b	0.512	0.796	1	-4.075	1	0.0645	0.00147	0.000209	0.0938	0.344	171.014	201573	4	pop
5SzjLdthjlB836YnoOx4ip	0.548	0.805	7	-5.732	1	0.351	0.212	0.000405	0.408	0.649	142.096	216387	4	pop
3wn8nOygkHLUQ9dlXM1rKW	0.705	0.613	7	-7.441	1	0.123	0.262	6.97e-06	0.198	0.259	74.521	167187	4	pop
2GyFV021lG0HcfjshOV7vg	0.548	0.732	11	-5.652	0	0.336	0.125	0	0.269	0.612	142.791	127547	4	pop
4o831MVfytpKqEfFR1U1gp	0.848	0.512	3	-7.72	0	0.102	0.228	0.00232	0.0879	0.572	120.009	181840	4	pop
7GkJMWlQfkERJFT81ptWr5	0.512	0.796	1	-4.075	1	0.0645	0.00147	0.000209	0.0938	0.344	171.014	201573	4	pop
0I4DUBMrgw0WEotfRDQYrI	0.848	0.512	3	-7.72	0	0.102	0.228	0.00232	0.0879	0.572	120.009	181840	4	pop
0RKcoUzLs2Q31cOU2ZgPtk	0.568	0.646	2	-4.369	0	0.219	0.231	0	0.12	0.24	143.869	212658	1	pop
4ry1My8d6CLKPUWmvBiWLN	0.825	0.505	10	-9.916	0	0.105	0.0142	0	0.11	0.423	164.96	203390	4	pop
30W4oqUjXkiX1C9YTEybeQ	0.848	0.512	3	-7.72	0	0.102	0.228	0.00232	0.0879	0.572	120.009	181840	4	pop
6AviHKu3ydzAePBmzEi62v	0.666	0.81	8	-4.574	1	0.0458	0.152	0	0.0613	0.811	99.023	200213	4	pop
3AtKKMVEVfAFf1RdnlLiqa	0.826	0.855	0	-4.219	1	0.184	0.115	0	0.117	0.97	84.947	69407	4	pop
1lZYXnyzt6F0Dnq93Dpyi0	0.751	0.745	1	-6.757	1	0.174	0.157	0.000626	0.231	0.654	148.017	171892	4	pop
7cacZnugF8wk04tBtpoTuY	0.715	0.542	0	-10.051	0	0.308	0.455	0	0.129	0.483	155.017	148885	4	pop
4GssB27iJeqmfGxS94Tfij	0.461	0.897	3	-3.982	0	0.092	0.00821	0	0.0965	0.358	165.107	220537	4	pop
7zo6kACkYJC15ojBWU66D2	0.86	0.805	5	-3.332	0	0.164	0.147	0	0.171	0.863	128.006	135047	4	pop
04hCqJjdKXAuQt33fAD5FF	0.636	0.311	5	-12.919	1	0.0364	0.656	0.636	0.219	0.39	100.198	126264	4	pop
4illSIJTiQkprRvEEMF6Rl	0.365	0.686	7	-6.804	1	0.0555	0.213	0	0.215	0.612	134.157	598640	4	pop
2y1e4z81SBoSDDc40TI1Ow	0.67	0.725	3	-7.109	0	0.0361	0.11	1.14e-06	0.101	0.431	125.036	168960	4	pop
1IkEE9PQVeQ563gWfJ4moA	0.635	0.643	7	-8.492	0	0.155	0.208	0.000154	0.453	0.642	159.952	182363	4	pop
3qDlb0Fo29MtPKsr5sT80Z	0.604	0.468	5	-7.093	0	0.0545	0.505	0.00192	0.0681	0.695	84.886	271216	4	pop
3nLJ0MB0BFsf3mN1bidN3R	0.626	0.724	9	-4.563	1	0.0766	0.111	0	0.193	0.353	99.943	105600	4	pop
4YFzsz6z9wkapcNioTRRYD	0.881	0.465	6	-10.826	0	0.296	0.374	0	0.103	0.576	75.489	141457	4	pop
0nV8ffGvur4zBHlbOlsZWM	0.713	0.228	0	-12.85	1	0.183	0.777	0	0.122	0.544	88.559	224387	4	pop
4kiG7cgNlbu8vLglVV1dyM	0.663	0.463	7	-13.231	1	0.0364	0.379	0.548	0.129	0.529	100.104	124848	4	pop
73s3Da6Wt7spvlTbkBr1O7	0.599	0.835	2	-4.911	1	0.351	0.205	0	0.0877	0.443	143.302	175755	4	pop
4Y0RSi32wNFN0SKvAMibga	0.863	0.904	1	-6.202	1	0.635	0.0083	0	0.0567	0.136	149.977	129254	4	pop
72gYIRoNHcLatf1om8aXsf	0.726	0.972	7	-3.512	1	0.24	0.0333	0.0721	0.0995	0.745	161.993	154815	4	pop
2qqWZmhSn0LJHABihLydjF	0.57	0.672	2	-8.274	1	0.14	0.358	0	0.867	0.819	158.973	327000	4	pop
39MCJWKc558g8pMnnBgDbw	0.548	0.821	4	-5.771	1	0.206	0.34	0	0.357	0.94	134.965	171886	4	pop
3nqQXoyQOWXiESFLlDF1hG	0.714	0.472	2	-7.375	1	0.0864	0.013	4.51e-06	0.266	0.238	131.121	156943	4	pop
6juLaduD4STCUDWT0AYun4	0.66	0.787	1	-4.592	0	0.032	0.00257	0	0.323	0.199	142.018	217088	4	pop
20zNg85AcKw8B6z5NZZnIW	0.704	0.191	4	-15.189	0	0.0623	0.94	0.926	0.0988	0.351	100.004	180000	4	pop
2XaeFJ2YJBRWhlzRVYhbKc	0.508	0.565	8	-4.682	1	0.0329	0.767	0	0.084	0.218	145.79	281125	3	pop
7C8qH7v1ApqgoIVqGCzbQo	0.742	0.93	7	-4.332	0	0.0365	0.00393	0.126	0.0975	0.597	128.026	265796	4	pop
1UVoU1n7QWGJfhaSUNuFlf	0.528	0.873	4	-5.017	1	0.0646	0.0519	0	0.154	0.6	184.886	168000	4	pop
04nJixim5a0MAz3PGiVID1	0.695	0.894	0	-8.043	1	0.0486	0.454	0.228	0.115	0.968	149.998	180403	4	pop
76FZM38RC8XaAjJ77CVTNe	0.623	0.734	9	-5.95	1	0.107	0.0162	1.9e-06	0.145	0.372	107.853	244453	4	pop
3CRDbSIZ4r5MsZ0YwxuEkn	0.734	0.637	4	-5.677	0	0.141	0.0462	2.29e-05	0.0602	0.648	169.977	202333	4	pop
1TEjSXPdAakDotj2Wji3PU	0.706	0.841	7	-3.956	1	0.0418	7.95e-05	0	0.0688	0.861	132.032	220227	4	pop
1FKp7ehERBw8KkgrOlEWDl	0.567	0.211	0	-9.975	1	0.0315	0.952	5.24e-05	0.275	0.289	134.019	185587	4	pop
4Igdy7hxxzdBXIRiELDXM3	0.751	0.738	9	-7.912	1	0.418	0.0187	0	0.329	0.644	141.03	168482	4	pop
1kDCBSUOVFCSddvAGSwFCs	0.623	0.668	6	-7.282	0	0.0531	0.475	0	0.0862	0.823	161.948	183067	4	pop
7dZ1Odmx9jWIweQSatnRqo	0.666	0.423	0	-8.012	1	0.043	0.494	0	0.106	0.154	129.89	205280	4	pop
6vc3c8Y1AXlGomEna6XL8t	0.623	0.668	6	-7.282	0	0.0531	0.475	0	0.0862	0.823	161.948	183067	4	pop
3PHrskpd9rwqREoNzAk4Fv	0.679	0.748	0	-3.624	0	0.0385	0.0878	0	0.299	0.438	100.035	200787	4	pop
6hAK0wuZq4ou0iSnbMiNXd	0.614	0.21	9	-13.43	1	0.412	0.901	0	0.139	0.334	86.147	229613	1	pop
3yL0U7omavMnqvsGF7OlPB	0.471	0.396	8	-6.654	1	0.0336	0.77	0	0.0729	0.263	149.609	215507	4	pop
4GU6AMBu1GSgvfPBGlWUPj	0.759	0.401	4	-8.999	1	0.259	0.86	0	0.299	0.576	100.126	232627	4	pop
7wXSfRL2znSj72qsPJLCOR	0.64	0.812	8	-5.647	0	0.0837	0.086	0	0.0509	0.914	86.012	227427	4	pop
4PAqUbPO4ivf4JrH8UGfho	0.752	0.85	8	-8.327	1	0.0819	0.025	0.000131	0.149	0.491	122.991	225333	4	pop
4xezH01fbph6Wbc8WHEjLn	0.667	0.947	1	-1.889	1	0.0737	0.0152	0.00175	0.119	0.563	161.979	144178	4	pop
0Uzy6FHTYob2CbWisMz4Ap	0.821	0.586	3	-5.336	1	0.0477	0.18	0	0.0845	0.811	137.014	193427	4	pop
0kQU3wwRCmtoruONebWAh0	0.501	0.4	0	-8.117	1	0.0258	0.0417	1.5e-06	0.133	0.151	91.007	206209	4	pop
3CSRoCBnPbLXb0OYKPTux6	0.818	0.924	6	-1.953	0	0.235	0.47	0	0.344	0.953	144.009	210043	4	pop
5yDL13y5giogKs2fSNf7sj	0.722	0.851	7	-3.873	0	0.0639	0.0319	0	0.108	0.452	126.885	197936	4	pop
4leTkFPERM4owJBKrsqZQv	0.548	0.805	7	-5.732	1	0.351	0.212	0.000405	0.408	0.649	142.096	216387	4	pop
47i7mmVHKHXVZQsZhXTLQ6	0.584	0.547	7	-8.502	0	0.382	0.655	1.64e-06	0.134	0.56	83.917	160000	4	pop
0zfm0BRkYt1Dehay3ojrwu	0.658	0.634	1	-5.797	0	0.0413	0.0106	0	0.132	0.29	139.98	170813	4	pop
