id	name	artist	genres	artist_followers	artist_popularity	markets	album	released_date	album_popularity	duration	explicit	popularity
4XQnhcwRPRmGG4E6PakLMb	Wings	So!YoON!,Phum Viphurit	korean indie rock,bedroom pop,k-indie	47872,463820	46,57	184	Wings	2020-10-20	50	195573	False	62
1Q4PSXkEMzcoIi3saaosrD	Đừng Đổ Lỗi Bọn Trẻ (feat. Hoàng Yến Chibi)	B Ray,Hoàng Yến Chibi	vietnamese hip hop,v-pop	372322,149127	49,35	184	Loser2Lover	2020-04-17	39	198594	False	34
02NS9DhdcleDlF2AcjHwbd	Còn Gì Đau Hơn Chữ Đã Từng	RIN9	v-pop	6303	41	184	Còn Gì Đau Hơn Chữ Đã Từng	2020-09-10	22	202828	False	34
5wW9FDXQAPoxqnBlm3MjrK	Dư Tiền	B Ray	vietnamese hip hop,v-pop	372322	49	184	Loser2Lover	2020-04-17	39	160946	False	35
0OkmE41DDBm8iO9kjlfgsV	tekb	Khói	vietnamese hip hop,v-pop	192616	49	184	tekb	2020-05-27	23	161271	False	34
54i5ftxGyPMxJ33Vazp6nw	Only You	Joseph Vincent	viral pop	338465	61	183	Only You	2020-10-30	47	142208	False	58
1nYzjrdVQ8RpF93M0jPFW7	Remember That Night?	Sara Kays	pop,gen z singer-songwriter,modern indie pop,indie pop,alt z	351006	62	183	Remember That Night?	2020-11-06	64	227186	False	76
7eEWraXIvpuMBZldT0msaT	Bản Tình Ca Đầu Tiên	Duy Khoa		230	18	183	Lời Hứa	2020-07-10	24	328186	False	35
7Ao6MuRitN8bnKMqb9zJdn	Giá Như Ta Chẳng Biết Nhau	Vicky Nhung	v-pop	31413	46	183	Giá Như Ta Chẳng Biết Nhau	2020-06-02	24	259990	True	36
6zFMeegAMYQo0mt8rXtrli	HOLIDAY	Lil Nas X	lgbtq+ hip hop,pop	12135752	82	183	HOLIDAY	2020-11-13	63	154997	True	75
2rkb8ijsPapKDMEh0cSe8I	My Kind Of Present	Meghan Trainor	pop,dance pop,hip pop	12366197	84	183	A Very Trainor Christmas	2020-10-30	71	161013	False	75
2QZe2H1f03t5PJWEMg2Mbe	UGH!	BTS	k-pop boy group,k-pop	58715441	92	182	MAP OF THE SOUL : 7	2020-02-21	79	225012	False	69
6IHX0kz7fKaM7bv1hXNiCp	Buồn Làm Chi Em Ơi	Hoài Lâm	vietnamese bolero,v-pop	345599	42	183	Buồn Làm Chi Em Ơi	2020-06-26	27	272727	False	39
1UMJMYf5Y9V9Im4jRs5YO3	Yêu Từ Đâu Mà Ra	Ti-K	viet lo-fi	239	18	183	Nhạc Khúc Tình Yêu (Vol. 1)	2020-05-01	31	231274	False	35
463CkQjx2Zk1yXoBuierM9	Levitating (feat. DaBaby)	Dua Lipa,DaBaby	pop,rap,uk pop,trap,north carolina hip hop,dance pop	37668721,10336651	88,82	178	Levitating (feat. DaBaby)	2020-10-01	65	203064	False	77
7xcUWyLh6fIMsYjoVI7NnZ	Ew	Joji	viral pop	7603188	87	183	Nectar	2020-09-25	76	207710	False	70
12sYDHudVQSIOK0ZEe3WAc	Về Nhà Ăn Tết	JustaTee,BigDaddy	vietnamese hip hop,v-pop,vietnamese melodic rap	615465,111247	55,42	183	Tết Sôi Động-Tết Tài Lộc 2021	2020-12-22	25	241894	False	36
58qX77t2VWMWcycsh9zKLc	i don't want to watch the world end with someone else	Clinton Kane	alt z,gen z singer-songwriter,pop	805042	69	183	i don't want to watch the world end with someone else	2020-05-08	59	184505	False	71
04F42oEuKrRComYJfJuyVR	Backyard Boy	Claire Rosinkranz	indie pop,pop,modern indie pop	333553	62	183	Backyard Boy (Stripped)	2020-10-02	58	129240	False	70
6sI8Q7TTJeA9exw6hxEqq3	Blueberry Eyes (feat. SUGA of BTS)	MAX,SUGA	pop,k-pop,viral pop,dance pop,post-teen pop	786006,2023383	70,69	183	Colour Vision	2020-09-18	56	172244	False	65
6hRvewF5MRAsqqxnNs3z2b	SUICIDE YEAR	WEEDMANE,Suicideyear	phonk,wave,drift phonk	26025,26453	61,61	183	SUICIDE YEAR	2020-12-16	66	91820	True	78
5CFsem2gJpm6NMnrLCZXrm	Vài Giây Nữa Thôi (Lofi Ver.)	Reddy,Freak D	v-pop,viet lo-fi	39119,54289	38,46	183	Thì Thôi... Vài Giây Nữa	2020-12-28	31	283809	False	35
1sgDyuLooyvEML4oHspNza	Lose Somebody	Kygo,OneRepublic	pop,pop dance,tropical house,edm,piano rock	8226876,14700706	80,84	183	Golden Hour	2020-05-29	69	199549	False	73
2pXsW2ptdMtZ1rgnJHlmmH	Mùa Yêu Cũ	Trung Quân	v-pop	413342	52	183	Những Bài Hát Hay Nhất Của Trung Quân Idol	2020-01-01	36	266149	False	34
5xvUG7z88Y3hOOZCkc2ZK3	Christmas	LoFi Waiter		23147	66	183	Lofi Christmas	2020-11-10	55	105008	False	65
52R7RgCUe091WWS1RUaElC	She Share Story	Linearwave,Tuuh	lo-fi brasileiro,sad lo-fi,focus beats	16337,971	61,44	183	She Share Story	2020-06-26	46	80666	False	58
1g6aK9HzKkbbQ2RpqtUyvL	Moments	Micah Edwards		22389	51	184	Moments	2020-10-21	54	292624	False	66
4wVOKKEHUJxHCFFNUWDn0B	Chicago Freestyle (feat. Giveon)	Drake,Giveon	pop,rap,r&b,toronto rap,canadian pop,hip hop,canadian hip hop	69809073,2672606	97,80	184	Dark Lane Demo Tapes	2020-05-01	77	220487	True	82
7yjduLSgPntFlq79Cuzrfz	Eu Tenho Medo	Zé Vaqueiro	arrocha,forro de favela	4448389	68	184	O Original	2020-10-01	60	216835	False	64
4nmGipl4hRBing7os8hAVM	Yüce Aşk	Motive	turkish trap	406126	72	184	Yüce Aşk	2020-05-08	52	166829	False	64
1D7FT4fDfso6MI5de65uAm	Beni Mi Boğar	Motive	turkish trap	406126	72	184	Makaveli (Deluxe)	2020-12-11	61	151384	False	64
3bi1trbFYXsG4J1YqPEB4B	El Motivo	Maka	urbano espanol,flamenco urbano	442212	65	184	Maldiciones	2020-12-10	60	175301	False	64
0hicPD6pe5ilVkgMWbRbZS	En Realidad	Grupo Abracadabra		1944	46	184	Antología, Vol. 1	2020-09-04	52	221640	False	64
