id	name	genres	followers	popularity
5cj0lLjcoR7YOSnhnX0Po5	Doja Cat	dance pop, pop	23422456	87
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	dance pop, pop	85693637	90
164Uj4eKjl6zTBKfJLFKKK	JVKE	modern indie pop, pop	1059621	80
5psbZA47eQziEQRvpjkqDW	Alex Dương	v-pop	2841	6
1L1VfizWn4DkFt602yD80U	ERIK	v-pop	744733	49
68TCVp5t1Dxi2TvNuYoYK0	OHHYUK	korean pop	50390	54
4QDcs3XrA8uHUZ7Xt9Ytep	Primary	k-indie, k-rap, korean city pop, korean pop	77263	47
6KImCVD70vtIoJWnq6nGn3	Harry Styles	pop	24856481	90
7jVv8c5Fj3E9VhNjxT4snq	Lil Nas X	lgbtq+ hip hop, pop	12129396	82
60rpJ9SgigSd16DOAG7GSa	Billy Ray Cyrus	country, country rock	220442	64
3TVXtAsR1Inumwj472S9r4	Drake	canadian hip hop, canadian pop, hip hop, rap, toronto rap	69736933	97
60d24wfXkVzDSfLS6hyCjZ	Martin Garrix	dance pop, dutch edm, edm, electro house, pop, pop dance, progressive house, tropical house	15668939	77
0m2Wc2gfNUWaAuBK7URPIJ	Bono	hollywood	44321	55
1X8wFHJFucBUmBc7spQ4jP	The Edge		9396	50
1HY2Jd0NmPuamShAr6KMms	Lady Gaga	art pop, dance pop, pop	24153364	86
41MozSoPIsD1dJM0CLPjZF	BLACKPINK	k-pop, k-pop girl group	35250757	86
3uwAm6vQy7kWPS2bciKWx9	girl in red	bedroom pop, indie pop, norwegian indie, pop	5597505	77
6fWVd57NKTalqvmjRd2t8Z	24kGoldn	cali rap, pop, pop rap, rap	1922657	74
6ASri4ePR7RlsvIQgWPJpS	iann dior	melodic rap, pop, pop rap	1649979	75
246dkjvS1zLTtiykXe5h60	Post Malone	dfw rap, melodic rap, rap	39062300	88
1zNqQNIdeOUZHb8zbZRFMX	Swae Lee	melodic rap, trap	1573439	77
4rxWm4OrS8IRQ3YxDUwnJA	KyoungSeo	korean pop	53077	43
3zz52ViyCBcplK0ftEVPSS	Quadeca		262909	59
2AbQwU2cuEGfD465wCXlg2	Rawayana	reggae en espanol, venezuelan hip hop, venezuelan rock	430365	58
4CwMs8jUAM2yLTsruhYmpU	Jordyn Rayne		4810	16
5U87JpUi38nghXjBjSmzMa	Ryan Todd Johnson		26	13
