danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	id	duration_ms	time_signature	genre
0.528	0.58	1	-6.705	1	0.039	0.171	2.49e-06	0.0875	0.222	144.008	2BvVMDhRtxoOtaexr9pjyn	232640	4	country pop
0.858	0.384	7	-11.732	0	0.213	0.0498	0	0.0795	0.335	92.043	6xEFjiSRJNP1rjBHoMBYTc	190584	4	korean underground rap
0.524	0.66	7	-6.662	1	0.032	0.00101	5.87e-05	0.0663	0.554	137.305	1fNZAkVrI9SqYqTGmq3G8x	301462	4	chinese punk
0.555	0.41	5	-12.92	1	0.0253	0.202	0.773	0.211	0.298	139.947	1DhjZpKb6Vat8sDoo9y8qr	253867	4	chillsynth
0.595	0.339	1	-16.196	0	0.363	0.78	2.62e-05	0.116	0.679	86.718	2UWVIthY6mMRRVU2iTfZz4	156923	3	funk carioca
0.835	0.268	8	-13.635	1	0.178	0.0989	0.844	0.192	0.23	128.044	5uWbaL3t89QxDInLK4ndgr	180044	4	san antonio rap
0.714	0.542	8	-7.672	1	0.0533	0.77	1.53e-06	0.145	0.258	82.995	3S6XVJRdXdOvc8uAuoH5ga	199250	4	j-rap
0.516	0.717	0	-6.914	1	0.0334	0.00619	0.00919	0.105	0.235	119.981	6bsoSLp1ggpyasKafRKo8t	284350	4	southern china indie
0.644	0.513	2	-5.376	0	0.0249	0.47	0	0.114	0.265	113.343	3l6qx9L51oqQJjbtEAa1zj	300693	4	latin alternative
0.489	0.873	2	-8.034	0	0.0406	0.0225	1.32e-06	0.261	0.205	135.049	5smBFUKNpCVbrMA19QjMX6	286893	4	early us punk
0.662	0.797	6	-6.434	1	0.0367	0.11	0.0516	0.164	0.583	124.009	79hV9YHayd2RIzpgrxNVd8	205161	4	complextro
0.622	0.324	4	-9.147	0	0.0387	0.833	0.000126	0.132	0.0839	134.457	1MzUS7UkyKrXU1b77XfyUH	199920	3	korean r&b
0.678	0.738	2	-4.543	0	0.065	0.0656	0.0014	0.202	0.709	120.04	2RtaCvLxtu7zX8vlyOJ256	144004	4	norwegian house
0.779	0.288	0	-11.875	1	0.0555	0.816	0.903	0.108	0.164	134.992	02cyI9GE6GQqh60CZADM8v	163500	4	lo-fi beats
0.741	0.83	0	-3.351	1	0.0731	0.013	0.00196	0.0921	0.441	121.993	7uhUZP0pysAuwoqil1ivlC	175507	4	australian pop
0.363	0.104	3	-24.345	1	0.0361	0.988	0.908	0.115	0.367	88.274	65JEY1y61henKr2yK6TeTy	329387	4	classical
0.509	0.805	4	-5.381	1	0.0277	0.0143	0.000185	0.41	0.487	149.13	31nLVOpK8ePXpRVm3mpFJ5	184653	4	album rock
0.669	0.712	9	-4.693	1	0.0447	0.735	0	0.136	0.972	161.931	7FLDubBkHuONrkx5mbW0Yn	229538	3	corrido
0.4	0.453	11	-7.429	1	0.0301	0.445	0	0.398	0.147	74.114	2Cro8ced8YAz0dq2lZDhLQ	417819	3	anthem worship
0.704	0.205	7	-18.429	1	0.0337	0.936	0.814	0.1	0.131	123.999	2TvShcjtnZeN6bc7DuhgHP	163053	4	ambient guitar
0.549	0.455	3	-6.499	0	0.0263	0.652	0.00247	0.095	0.319	169.8	3qY12xfdjw5TToomM5CH4B	364804	4	city pop
0.752	0.907	7	-6.411	1	0.138	0.00833	0.713	0.0718	0.843	127.974	0LA2KQAysYMLUdyOxog2Si	96370	4	cartoon
0.852	0.631	8	-4.447	0	0.0564	0.121	2.08e-05	0.212	0.799	101.977	5Qdbkemkdk8syZXJQVabSf	220965	4	dancehall
0.354	0.155	11	-14.906	1	0.0332	0.992	0.653	0.115	0.17	62.959	23CCJCFKKrGn7EgCPkXKta	76550	4	christian indie
0.513	0.797	0	-7.534	0	0.0507	0.0044	0.000452	0.0658	0.589	180.043	4HTQCPdMrLGcSA5tZmcD9O	154776	4	bossbeat
0.671	0.132	1	-11.071	1	0.0704	0.926	0.946	0.0942	0.685	91.056	338xKuidhFhtxXTptTcw6D	147584	4	chillhop
0.898	0.914	10	-1.751	0	0.194	0.0622	0.000861	0.0999	0.633	120.956	6Tu4TjWIIRQ38lhUyotVEd	147000	4	chilean hardcore
0.615	0.87	5	-8.079	1	0.0331	0.0809	0.92	0.0757	0.618	170.011	6B69D9a3kmtFxSC9TqSGsO	266500	4	chillsynth
0.437	0.151	4	-18.918	0	0.0406	0.978	0.937	0.108	0.123	122.172	0Xy3LwJFQfx7yQRRgdG5Wo	185525	4	new age piano
0.666	0.877	9	-10.028	1	0.0909	0.017	0.902	0.104	0.18	172.059	5gOIqrKk3hXcNdfU3puaM3	157062	4	hardvapour
0.394	0.216	7	-16.566	0	0.0348	0.993	0.896	0.1	0.176	113.596	4RUKTGXjyRM3wdksLgC6Ca	232787	4	classical
0.411	0.705	4	-7.507	1	0.0323	0.000357	0.743	0.164	0.53	128.556	54SNkgKELgoZVCslClhwzp	207200	4	britpop
0.701	0.747	2	-8.456	0	0.0391	0.0751	0.818	0.132	0.457	124.986	23S3VBhXxJBGYs8MCzygpb	217440	4	bristol electronic
0.682	0.725	10	-6.793	1	0.0263	0.549	0.0145	0.32	0.923	134.393	4yiQrnlmBH3hss1QavSCuj	303714	4	hi-nrg
0.613	0.478	5	-13.053	1	0.0435	0.852	0.738	0.143	0.279	84.039	6Y1xR0TDpxWQwmTYmkYZMt	151429	4	chillhop
0.675	0.588	9	-7.477	1	0.0675	0.736	1.03e-05	0.135	0.732	84.945	28lZSZTZjIuoO07nACvfNo	256507	4	canzone d'autore
0.721	0.613	2	-6.962	1	0.315	0.209	0	0.104	0.146	89.611	2yJMpAZdRUqXlp74A8CJvD	222551	5	bc underground hip hop
0.81	0.405	7	-9.415	0	0.0457	0.629	0.853	0.11	0.379	92.097	2vW6VQQrFypSMvx4UF3DaW	141187	4	chillhop
0.552	0.394	3	-5.795	0	0.0305	0.941	3.24e-06	0.0655	0.321	137.941	4LnBzQTbIJ3rCdXxs44R9S	217773	4	contemporary country
0.699	0.476	0	-10.965	1	0.315	0.238	0	0.179	0.079	111.601	5kzmcZJI6inZfsL3eyBxvm	260153	4	drain
0.614	0.829	0	-3.841	0	0.117	0.0282	0	0.288	0.495	127.923	11RhjhJtaHZoQEIKyMGqwK	209143	4	russelater
0.733	0.71	5	-5.849	0	0.0292	0.145	0.115	0.0956	0.965	127.975	2ED8sc40RVFvgqao2r3Qqn	239600	4	indietronica
0.552	0.234	2	-13.752	1	0.0562	0.694	1.27e-06	0.0733	0.387	120.16	22Hnu6M7hvv6L7BWVhnFmx	249167	4	broadway
0.887	0.82	11	-3.449	1	0.216	0.213	0	0.169	0.678	107.961	3ZJ1F8QrGVN6uz9HTF4Mrg	170000	4	dembow
0.324	0.741	9	-7.139	0	0.0317	0.0139	0	0.149	0.55	78.031	3I5BIp1ajVFFi5VpbIbcRO	272080	4	album rock
0.8	0.873	2	-5.702	1	0.0338	0.0526	0	0.105	0.949	103.005	31ph2cPpOSh8VKAoTy6ELk	187373	4	cumbia del sureste
0.646	0.823	7	-9.363	1	0.0345	3.13e-05	0.559	0.165	0.367	125.996	6T4UOn7STpWjateHiDejNF	217733	4	dance pop
0.61	0.876	0	-5.929	0	0.044	0.237	0.000221	0.0736	0.863	96.829	5QimyOxJuqDk7K4E28luEq	221893	4	mellow gold
0.718	0.406	7	-15.188	0	0.0362	0.364	0.704	0.117	0.33	120.028	6pb8lwmWQ0m580npJqQq6W	273500	4	organic house
