id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	genre
3ZRwXN8RRPEq7pnkx6vxaR	0.601	0.713	4	-3.758	0	0.0449	0.0282	0	0.158	0.464	122.872	169756	4	pop
2TfSHkHiFO4gRztVIkggkE	0.494	0.842	7	-4.784	1	0.0843	0.00579	0	0.122	0.574	162.011	229093	4	pop
4f4lnKeuP91FMXOUP1c7cn	0.601	0.713	4	-3.758	0	0.0449	0.0282	0	0.158	0.464	122.872	169756	4	pop
23oxJmDc1V9uLUSmN2LIvx	0.486	0.904	6	-3.751	0	0.0638	3.43e-05	2.83e-05	0.0947	0.786	173.734	198267	4	pop
7LfCB8i2mDqt8LSIlYgJrm	0.561	0.965	7	-3.673	0	0.0343	0.00383	7.07e-06	0.371	0.304	128.04	175238	4	pop
4ZtFanR9U6ndgddUvNcjcG	0.563	0.664	9	-5.044	1	0.154	0.335	0	0.0849	0.688	166.928	178147	4	pop
5uY5UGqYB9DhS0OG3Z5K4C	0.601	0.713	4	-3.758	0	0.0449	0.0282	0	0.158	0.464	122.872	169756	4	pop
6tS3XVuOyu10897O3ae7bi	0.791	0.754	0	-3.729	1	0.0569	0.00446	0	0.163	0.425	125.014	234653	4	pop
2W5xjjkDZG4gw80s8NJP15	0.507	0.828	10	-6.023	1	0.0449	0.00711	2.44e-05	0.261	0.489	178.032	211295	4	pop
0laYHRpNTS6i8FXdupHkJ4	0.858	0.678	1	-3.87	0	0.0469	0.0761	0	0.0741	0.922	117.009	188453	4	pop
5EPqf1tb9E6GaCqHprNvkD	0.676	0.497	1	-7.308	0	0.0293	0.000124	0.000475	0.855	0.327	128.106	189880	4	pop
6BePGk3eCan4FqaW2X8Qy3	0.696	0.793	8	-5.733	1	0.097	0.0683	3.78e-06	0.18	0.698	120.003	172253	4	pop
2Z8WuEywRWYTKe1NybPQEW	0.645	0.713	6	-5.355	1	0.0393	0.00835	0	0.113	0.566	74.989	214507	4	pop
7neBaS8vMvoYL3UmzsNkgq	0.507	0.828	10	-6.023	1	0.0449	0.00711	2.44e-05	0.261	0.489	178.032	211295	4	pop
3YZE5qDV7u1ZD1gZc47ZeR	0.509	0.812	8	-5.439	1	0.0537	0.00128	1.99e-05	0.214	0.689	159.878	229640	4	pop
34DNizvR838A8macoRnlA0	0.507	0.828	10	-6.023	1	0.0449	0.00711	2.44e-05	0.261	0.489	178.032	211295	4	pop
5xEM5hIgJ1jjgcEBfpkt2F	0.585	0.776	5	-5.898	1	0.0459	0.0572	7.74e-06	0.3	0.427	77.987	244507	4	pop
2mlGPkAx4kwF8Df0GlScsC	0.705	0.373	7	-9.066	1	0.0384	0.723	0.81	0.289	0.551	120.046	208026	4	pop
4h4QlmocP3IuwYEj2j14p8	0.768	0.714	10	-5.11	1	0.0401	0.352	0	0.15	0.842	131.443	163026	4	pop
05r7TJT9vj5cC1Vejy2woC	0.652	0.657	3	-4.491	0	0.0306	0.00208	6.93e-05	0.0859	0.0861	127.997	313125	4	pop
0a7BloCiNzLDD9qSQHh5m7	0.622	0.961	11	-3.198	0	0.154	0.00523	0	0.0854	0.449	114.452	180267	4	pop
4CPcZHzSvIBM8AKhdHUwnL	0.734	0.712	6	-6.217	0	0.201	0.391	0	0.103	0.674	140.369	165405	4	pop
4Dvkj6JhhA12EX05fT7y2e	0.52	0.731	6	-5.338	0	0.0557	0.342	0.00101	0.311	0.662	173.93	167303	4	pop
5xTtaWoae3wi06K5WfVUUH	0.647	0.785	7	-5.414	1	0.165	0.0561	0	0.148	0.943	160.015	219200	4	pop
2iQuKGeInvXeOnK9SAh5DZ	0.438	0.178	5	-9.402	1	0.0414	0.957	1.1e-06	0.316	0.344	75.25	170964	1	pop
2e1mzGPBHmdtZR3RRknaXz	0.694	0.589	3	-7.309	0	0.12	0.365	0	0.111	0.728	100.041	184800	4	pop
3V2Aka7ef8AYfGi5DCc8sW	0.5	0.418	0	-6.535	1	0.0379	0.569	0.000176	0.11	0.177	84.899	172724	4	pop
7jxHeJLVpnP7S08JFF4GBi	0.746	0.876	1	-6.042	1	0.0345	0.0438	2.51e-06	0.112	0.928	119.97	267827	4	pop
3Sp9BTCPiShvn6xYV335jo	0.5	0.418	0	-6.535	1	0.0379	0.569	0.000176	0.11	0.177	84.899	172724	4	pop
0bYg9bo50gSsH3LtXe2SQn	0.336	0.627	7	-7.463	1	0.0384	0.164	0	0.0708	0.35	150.273	241107	4	pop
0CDUBquZPb8sbjWjBZ7wJy	0.923	0.604	11	-6.671	0	0.245	0.017	0	0.272	0.824	145.062	139741	4	pop
37vVp2sWHuuIBOSl1NswP6	0.398	0.705	5	-7.07	0	0.0756	0.204	5.13e-05	0.443	0.635	111.487	145668	4	pop
10VcEkda5ItaV9RQPHVFjd	0.601	0.713	4	-3.758	0	0.0449	0.0282	0	0.158	0.464	122.872	169756	4	pop
6r2BECwMgEoRb5yLfp0Hca	0.587	0.828	11	-5.108	1	0.161	0.00327	0	0.331	0.494	123.907	260253	4	pop
4Asprsgnbangq5XoxwedNr	0.923	0.604	11	-6.671	0	0.245	0.017	0	0.272	0.824	145.062	139741	4	pop
0WtM2NBVQNNJLh6scP13H8	0.801	0.806	11	-5.206	1	0.0381	0.382	0.000669	0.114	0.802	106.999	239318	4	pop
3xFYHQV8AVmXUq1gMUr7nQ	0.733	0.67	5	-6.009	1	0.0751	0.121	0	0.121	0.472	100.964	192841	4	pop
7EQGXaVSyEDsCWKmUcfpLk	0.711	0.7	1	-4.805	0	0.046	0.00498	0.000125	0.215	0.801	128.001	211920	4	pop
7xZjWIkHUuLdvemFIhdBc0	0.394	0.17	0	-10.368	1	0.0451	0.889	0	0.105	0.315	130.721	247493	3	pop
0HPD5WQqrq7wPWR7P7Dw1i	0.755	0.837	2	-2.718	0	0.142	0.0991	0	0.289	0.714	120.028	199693	4	pop
3lR3A6T3RztQF0qjhLuW4i	0.438	0.178	5	-9.402	1	0.0414	0.957	1.1e-06	0.316	0.344	75.25	170964	1	pop
5HCyWlXZPP0y6Gqq8TgA20	0.591	0.764	1	-5.484	1	0.0483	0.0383	0	0.103	0.478	169.928	141806	4	pop
2zmo93xTzKTP0lztR9iy9H	0.814	0.484	6	-10.962	1	0.299	0.931	5.35e-05	0.117	0.658	116.024	58869	4	pop
4wzjNqjKAKDU82e8uMhzmr	0.545	0.932	7	-2.189	0	0.0399	0.000665	0	0.127	0.464	92.956	192000	4	pop
4686eQ81DEswHa90bcdlC9	0.582	0.568	1	-7.3	1	0.0275	0.577	0	0.105	0.394	121.991	207541	3	rock
4FyesJzVpA39hbYvcseO2d	0.486	0.545	11	-7.924	1	0.0336	0.0652	0.00474	0.0642	0.0385	150.187	123891	4	rock
2EjXfH91m7f8HiJN1yQg97	0.589	0.472	8	-8.749	1	0.0502	0.614	0	0.505	0.898	67.196	126267	4	rock
5QSiHPOYNCmpbwwMQyOGA6	0.549	0.673	11	-5.373	1	0.0296	0.0763	0.000231	0.331	0.923	156.814	160027	4	rock
0e7ipj03S05BNilyu5bRzt	0.585	0.52	5	-6.136	0	0.0712	0.124	7.01e-05	0.131	0.129	159.801	218147	4	rock
6dBUzqjtbnIa1TwYbyw5CM	0.559	0.871	5	-5.338	0	0.0397	7.53e-06	0.00545	0.096	0.572	104.97	213920	4	rock
3gdewACMIVMEWVbyb8O9sY	0.601	0.532	10	-9.119	1	0.0286	0.432	6.25e-06	0.0925	0.341	136.571	281613	4	rock
6n9yCXvLhnYMgJIiIcMu7D	0.616	0.91	0	-3.004	1	0.0386	0.0459	0	0.343	0.693	144.072	252040	4	rock
7ytR5pFWmSjzHJIeQkgog4	0.746	0.69	11	-7.956	1	0.164	0.247	0	0.101	0.497	89.977	181733	4	rock
1AWQoqb9bSvzTjaLralEkT	0.892	0.714	4	-6.055	0	0.141	0.201	0.000234	0.0521	0.817	100.972	267267	4	rock
7vQbuQcyTflfCIOu3Uzzya	0.754	0.424	2	-8.463	1	0.0363	0.643	0	0.0652	0.806	119.705	130973	4	rock
45sDIKapDyxPl307QpEAwl	0.664	0.845	4	-6.115	0	0.0461	0.181	0	0.267	0.357	96.005	211253	4	rock
2HbKqm4o0w5wEeEFXm2sD4	0.716	0.531	7	-7.355	1	0.122	0.0703	0	0.224	0.344	71.994	386907	4	rock
35gK0UeTh8GKAZLmRXqUm0	0.599	0.681	7	-4.5	1	0.0331	0.0593	0	0.324	0.453	133.995	228027	4	rock
7oOOI85fVQvVnK5ynNMdW7	0.808	0.535	1	-12.521	1	0.0353	0.179	9.91e-05	0.158	0.848	114.031	220627	4	rock
58XWGx7KNNkKneHdprcprX	0.482	0.617	4	-12.931	0	0.0458	0.00543	0.000146	0.284	0.718	125.697	252493	4	rock
3cWmqvMwVQKDigWLSZ3w9h	0.773	0.612	8	-5.73	1	0.232	0.0398	0	0.142	0.381	149.999	193575	4	rock
2Q5wSOwq6BDSu7sSVMNrtT	0.592	0.882	8	-8.315	1	0.0468	0.00884	0.0155	0.0506	0.442	92.157	409400	4	rock
6KTv0Z8BmVqM7DPxbGzpVC	0.654	0.929	1	-5.906	1	0.0998	0.0468	0	0.0539	0.902	144.774	168840	4	rock
7K8XoQXZBffc4xG2xIQHMO	0.715	0.907	7	-6.025	0	0.0993	0.0172	8.39e-05	0.426	0.841	124.991	268840	4	rock
0N0h5lXc4HOiLgGb9EZi8m	0.803	0.64	1	-4.721	1	0.151	0.583	0.000331	0.437	0.816	140.073	96826	4	rock
3RIgHHpnFKj5Rni1shokDj	0.215	0.203	5	-12.65	1	0.0346	0.968	0.0585	0.0923	0.143	78.287	248934	1	rock
1orVKbp6vqtfAPOmvRofVq	0.695	0.582	4	-11.35	1	0.0651	0.297	0	0.123	0.892	122.433	187067	4	rock
1V0jEAE4UreyX8KYxGLnLP	0.673	0.571	1	-7.631	1	0.0488	0.0737	0	0.117	0.042	141.957	148808	4	rock
5EOoMWIB9iK4ZpcSex9Ec7	0.714	0.937	6	-2.947	1	0.0399	0.206	0	0.0731	0.964	124.13	194147	4	rock
56KqaFSGTb7ifpt16t5Y1N	0.797	0.872	9	-6.727	0	0.0575	0.291	0	0.284	0.866	129.885	222427	4	rock
0qvlhVNm7L5IWabWF5hlEL	0.637	0.725	5	-5.073	1	0.0333	0.0702	0.00438	0.203	0.415	92.99	274733	4	rock
15euJpYK8D9FguuIUwBY2Z	0.524	0.572	7	-12.611	1	0.0281	0.0151	3.06e-06	0.348	0.959	146.682	168493	4	rock
20dkebBtPR4AJ8vVos41Gw	0.449	0.296	0	-12.608	1	0.0361	0.892	0.000755	0.892	0.139	139.828	194813	3	rock
5knuzwU65gJK7IF5yJsuaW	0.72	0.763	9	-4.068	0	0.0523	0.406	0	0.18	0.742	101.965	251088	4	rock
2aaUTdC6YQqEZiQEk8wPxK	0.685	0.729	7	-8.694	0	0.15	0.415	0	0.196	0.382	170.025	180750	4	rock
54flyrjcdnQdco7300avMJ	0.693	0.497	2	-7.316	1	0.119	0.679	0	0.258	0.473	81.308	122067	4	rock
6KN9atd3DRhmSRWeCSKkkL	0.483	0.945	2	-3.969	1	0.124	0.00437	1.56e-06	0.364	0.625	160.794	178560	4	rock
2Cdvbe2G4hZsnhNMKyGrie	0.535	0.716	4	-5.025	1	0.0431	0.326	0	0.659	0.901	94.379	175173	4	rock
190l7oYBQe6JBsWPJM2uNN	0.701	0.556	3	-11.861	1	0.0373	0.07	0.000173	0.104	0.667	170.142	146760	4	rock
1QLMOpJ9hjifk5pEiJdXMN	0.645	0.366	1	-11.249	1	0.0335	0.807	0	0.12	0.445	122.116	207541	3	rock
1ne9wOtDF2jM6Cm8WBkaER	0.455	0.437	4	-11.411	1	0.0278	0.314	0	0.501	0.724	81.396	283640	4	rock
2aPTvyE09vUCRwVvj0I8WK	0.721	0.707	6	-6.364	1	0.0595	0.181	3.68e-06	0.143	0.743	125.005	158206	4	rock
1YCsTFttuHAzgfEWKdOb9K	0.927	0.832	10	-7.665	0	0.0604	0.0139	2.6e-06	0.0394	0.958	115.384	307773	4	rock
6pWzCKTrKrwbUPzY8RLCoP	0.71	0.797	4	-3.006	0	0.0582	0.408	0	0.16	0.849	94.998	209120	4	rock
2bVeUlOC5JjTpkQXuUUoYm	0.639	0.843	11	-4.975	1	0.0362	0.0525	0	0.0854	0.528	126.047	217802	4	rock
3RBGG1be9aBaSvjnw6ABkh	0.672	0.62	8	-4.865	1	0.0422	0.123	0	0.362	0.627	78.005	221920	4	rock
0IkKz2J93C94Ei4BvDop7P	0.75	0.727	5	-4.21	0	0.142	0.0189	0	0.266	0.359	129.993	262173	4	rock
04CRi4s1n7IAlE916TXcTC	0.695	0.566	0	-9.508	0	0.0422	0.0905	0.000106	0.0906	0.68	108.706	240714	4	rock
6LnEoRQKMcaFTR5UvaKuBy	0.621	0.816	11	-5.242	1	0.104	0.0966	0	0.134	0.694	163.966	180360	4	rock
5BDZ8atcxq0QHGn66YwTwh	0.544	0.546	1	-14.475	1	0.0923	0.0099	0.00027	0.392	0.151	161.76	100383	4	rock
4FlYcJnfkeBpowEHJ72Bmt	0.541	0.608	7	-13.083	1	0.106	0.298	0	0.234	0.938	171.992	160080	4	rock
55cwGtYrExG7slEAor5jeR	0.741	0.622	10	-8.006	1	0.0395	0.137	0	0.106	0.47	136.014	152987	4	rock
43pulC9QdGwabXUtVHYnjY	0.658	0.815	3	-2.141	0	0.14	0.214	1.24e-06	0.126	0.818	91.041	149053	4	rock
7GCuaE6mVGKMSEEOlVU2CE	0.591	0.881	1	-6.719	1	0.0426	0.792	0.00375	0.092	0.563	144.366	52067	4	rock
4PRGxHpCpF2yoOHYKQIEwD	0.317	0.887	9	-7.292	1	0.0375	0.000582	0.00258	0.0891	0.871	169.613	220561	4	rock
