id	name	artist	genres	followers	artist popularity	markets	album	release date	album popularity	duration	explicit	popularity
7jKoCRzg26pc16RRWchfIC	Let Me Let You Go	ONE OK ROCK	j-rock,japanese emo,j-pop,visual kei	4625320	69	181	Unstoppable - 2022 Rocks	2022-11-04	3	180211	False	1
1MZef8S1SmGfzVtuRbMeHA	Midnight River	Pink Sweat$,6LACK	trap,bedroom soul,melodic rap,pop,rap,atl hip hop,r&b,hip hop,chill r&b	1456322,3744287	69,74	132	R&B - Best of 2022	2022-11-04	2	184771	False	0
5193Ni2pAHqFEX6kbgQ2j1	ur just horny	GAYLE	modern alternative pop	536015	69	181	Pop 2022	2022-11-04	6	178787	True	1
1qUQLSaMhD0hNT4vhQzbso	1, 2, 3	Sofía Reyes,Jason Derulo,De La Ghetto	latin hip hop,post-teen pop,trap latino,pop rap,pop,reggaeton,mexican pop,latin pop,reggaeton flow,dance pop,edm	2720021,11590833,6374054	69,78,79	133	Hits of 2022	2022-11-04	5	201526	False	0
2fBJXZiT4esBMpUka2NS9H	Kiss You This Christmas	Why Don't We	boy band,post-teen pop,pop,dance pop,australian pop	3367455	69	10	Holly Jolly Christmas Songs 2022	2022-10-28	1	165293	False	0
04B35i1P2ugOV5ALlAOJV4	1, 2, 3	Sofía Reyes,Jason Derulo,De La Ghetto	latin hip hop,post-teen pop,trap latino,pop rap,pop,reggaeton,mexican pop,latin pop,reggaeton flow,dance pop,edm	2720021,11590833,6374054	69,78,79	134	FALL HITS 2022	2022-10-28	16	201526	False	1
7xU8EdS0yU7xTO0xzFzduU	Picture in My Mind	PinkPantheress,Sam Gellaitry	future bass,vapor twitch,scottish electronic,vapor soul	1250528,104259	69,54	182	Dance - Best of 2022	2022-11-04	1	176930	False	0
6MEc6N8lU9eHZ5xEdjV4aH	Kiss You This Christmas	Why Don't We	boy band,post-teen pop,pop,dance pop,australian pop	3367455	69	182	Weihnachtslieder 2022 - Bekannte Weihnachtslieder	2022-10-28	9	165293	False	0
4jnQX6aRj4XmJkwCgUBdU8	HERE (For Christmas)	Lukas Graham	danish pop,pop,scandipop	1985474	70	10	Everyday Is Christmas - Viral Songs 2022	2022-11-04	0	240689	False	0
095SDLYjz1zp9dueUfLVMh	This Christmas	Pink Sweat$,Donny Hathaway	bedroom soul,chicago soul,soul,pop,classic soul,funk,chill r&b,neo soul,quiet storm	1456322,504367	69,56	182	Weihnachtslieder 2022 - Bekannte Weihnachtslieder	2022-10-28	9	181365	False	1
0viQMJk8yuOHiZUBwmJHWz	Not Over Yet	KSI,Tom Grennan	uk hip hop,dance pop,tropical house	2488506,371221	69,70	134	hits 2022	2022-10-28	18	155691	False	15
7laUNH4K6ntnJFGOGjjmTu	Encore un matin - remix 2022	L'Héritage Goldman,Céphaz	french pop,francoton	1611,9978	35,46	183	Encore un matin (remix 2022)	2022-09-19	40	201352	False	51
6rqLDDuFFex16MBzLoRk36	Can't Lie	Ali Gatie	pop,canadian hip hop	1971513	69	182	TikTok Viral Hits November 2022	2022-11-04	12	195066	False	0
1GXfnHYodi67GGQpwwM8Io	Freaks	Surf Curse	dreamo,surf punk,vegas indie,indie surf	815508	69	134	hits 2022	2022-10-28	18	147062	False	7
27EcgZQhOhznQEjLX7NAda	Song About You	Mike Posner	pop,pop rap,dance pop,edm	1304503	69	90	Hello Autumn 2022	2022-10-26	11	190146	False	0
46qtEje5N8PH6PAndJkP7p	Do You Hear What I Hear?	Mary J. Blige,Jessie J	post-teen pop,hip pop,urban contemporary,pop,pop rap,r&b,neo soul,dance pop	3334474,10496983	69,70	95	Christmas 2022	2022-11-01	11	259746	False	0
68zELuvSDVfZCpFoqqzQiy	This Christmas	Mary J. Blige	hip pop,urban contemporary,r&b,neo soul,dance pop	3334474	69	95	Kerst Pop 2022	2022-10-30	15	198853	False	0
