id	name	genres	followers	popularity
7oXvysW3peGY3AEa17WoFt	EBK Trey B	cali rap	5270	39
5xYNmNkaWRqu3e5F4UXME8	Alfredo Olivas	banda, musica mexicana, nueva musica mexicana, sad sierreno	4893566	77
3MIwMeYV8vmgQFbbRiJTp2	Jeannie C. Riley	classic country pop	61746	39
63yrD80RY3RNEM2YDpUpO8	Melanie Martinez	alt z, electropop, pop	15446645	76
5y2Xq6xcjJb2jVM54GHK3t	John Legend	neo soul, pop, pop soul, r&b, urban contemporary	6298047	76
7FBcuc1gsnv6Y1nwFtNRCb	My Chemical Romance	emo, pop punk	7163494	76
1Mxqyy3pSjf8kZZL4QVxS0	Frank Sinatra	adult standards, easy listening, lounge	5863518	75
1bfl0AU8SqmLkElptOprhC	Julión Álvarez y su Norteño Banda	banda, musica mexicana, norteno, sad sierreno	1784375	77
0ErzCpIMyLcjPiwT4elrtZ	NLE Choppa	memphis hip hop, viral rap	5274407	76
768KV6PLzzcqy1CRCMFUNW	Baby Racks		2670	49
5me0Irg2ANcsgc93uaYrpb	The Notorious B.I.G.	east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap	8195598	76
7c0XG5cIJTrrAgEC3ULPiq	Ty Dolla $ign	dance pop, hip hop, pop, pop rap, r&b, southern hip hop, trap, trap soul	4394902	80
4QorJVeBcR8p3rOveZtpSk	Bella Alubo	alte, nigerian pop	38172	42
3e7awlrlDSwF3iM0WBjGMp	Little Mix	dance pop, girl group, pop, post-teen pop, talent show, uk pop	10862900	76
62F9BiUmjqeXbBztCwiX1U	Lil Darkie	glitchcore, viral rap	1201996	70
6DgP9otnZw5z6daOntINxp	Joel Corry	dance pop, edm, pop, pop dance, tropical house, uk dance	307412	74
0C0XlULifJtAgn6ZNCW2eu	The Killers	alternative rock, dance rock, permanent wave, rock	6712053	75
7ywLsMIT1NHbZS6hxGScvm	Ryan Pardey		58	23
5IH6FPUwQTxPSXurCrcIov	Alec Benjamin	alt z, electropop, pop	3891441	75
5ZS223C6JyBfXasXxrRqOk	Jhené Aiko	pop, r&b, urban contemporary	5925243	76
2KEqzdPS7M5YwGmiuPTdr5	Rina Sawayama	art pop, dance pop, electropop, indie pop, pop, post-teen pop	822734	66
3tJoFztHeIJkJWMrx0td2f	Moneybagg Yo	hip hop, memphis hip hop, rap, southern hip hop, tennessee hip hop, trap	3248929	76
5F1aAS1duwlzExnPs3l2Xe	Pooh Shiesty	memphis hip hop, rap, southern hip hop, tennessee hip hop, trap	1009669	70
