id	name	popularity	available markets	release date	total tracks
0VaHnwzDug4AcDkejYDUl5	Sunroof	78	183	2021-12-03	1
7C221PnWhYGv8Tc0xSbfdc	Revolver (Super Deluxe)	68	182	2022-10-28	63
69tpCFA80jyssTOIHDQQO8	Capodanno 2022 Pop Hits	0	89	2022-11-22	88
7fJJK56U9fHixgO0HQkhtI	Future Nostalgia	81	179	2020-03-27	11
58NXIEYqmq5dQHg9nV9duM	Dirt (2022 Remaster)	70	183	1992-09-29	13
7zva9wg87euC958GKmscJz	Festa di Capodanno 2022	1	91	2022-11-20	70
1oKYKiAwR31eJvkRwpQVrb	Bye Bye	72	182	2022-10-14	1
4H6TGSkjv4UlvA7WZc2xue	'2022' (Base De Trap)	14	183	2022-07-16	1
6tMXhYSWXf3xcbrEQgNckz	Capodanno 2022 Baila! Latin Hits	2	95	2022-11-20	60
3NZ94nQbqimcu2i71qhc4f	BETWEEN 1&2	75	181	2022-08-26	7
2k9FuG5GyW61y2a0j4R3vP	Walt Disney Records The Legacy Collection: Aladdin	51	181	2022-09-16	51
6tMXhYSWXf3xcbrEQgNckz	Capodanno 2022 Baila! Latin Hits	2	95	2022-11-20	60
6tE9Dnp2zInFij4jKssysL	I NEVER LIKED YOU	81	183	2022-04-29	16
7J8SSnGauta2Uy7HKhEDMA	Anomaly	46	5	2022-09-16	11
6tMXhYSWXf3xcbrEQgNckz	Capodanno 2022 Baila! Latin Hits	2	95	2022-11-20	60
4QLAtpLNUsHEYrcHXmMIZZ	STAY (with Justin Bieber)	76	182	2021-07-09	1
6tMXhYSWXf3xcbrEQgNckz	Capodanno 2022 Baila! Latin Hits	2	95	2022-11-20	60
6FJxoadUE4JNVwWHghBwnb	RENAISSANCE	87	183	2022-07-29	16
6tMXhYSWXf3xcbrEQgNckz	Capodanno 2022 Baila! Latin Hits	2	95	2022-11-20	60
2FD6g8bXEn2uQMYbeqqoCg	Just Wanna Rock	77	182	2022-10-17	1
7zva9wg87euC958GKmscJz	Festa di Capodanno 2022	1	91	2022-11-20	70
4y77zrDMRkZznufMBScSal	Detox	63	182	2022-09-02	1
69tpCFA80jyssTOIHDQQO8	Capodanno 2022 Pop Hits	0	89	2022-11-22	88
6d1vGZsr6Uy3h9IigBpPAf	Meet The Woo	75	182	2019-07-26	9
33Tinkyhfj60QVXtZIArYJ	Pepas (David Guetta Remix - Radio Edit)	55	183	2021-09-21	1
6tMXhYSWXf3xcbrEQgNckz	Capodanno 2022 Baila! Latin Hits	2	95	2022-11-20	60
58cd90Jkrovggh556JPN9L	Do It To It	72	183	2021-08-20	1
6tMXhYSWXf3xcbrEQgNckz	Capodanno 2022 Baila! Latin Hits	2	95	2022-11-20	60
4MajX5vPeY4cX5pv6rf0sA	BILLIE EILISH.	76	182	2022-05-19	1
6tMXhYSWXf3xcbrEQgNckz	Capodanno 2022 Baila! Latin Hits	2	95	2022-11-20	60
6tUQPKlpR4x1gjrXTtOImI	abcdefu	73	183	2021-08-13	1
6tMXhYSWXf3xcbrEQgNckz	Capodanno 2022 Baila! Latin Hits	2	95	2022-11-20	60
32iAEBstCjauDhyKpGjTuq	=	83	183	2021-10-29	14
6tMXhYSWXf3xcbrEQgNckz	Capodanno 2022 Baila! Latin Hits	2	95	2022-11-20	60
0oEsQwXJhNbbb8VT0xOMok	STAYING ALIVE (feat. Drake & Lil Baby)	67	182	2022-08-05	1
6tMXhYSWXf3xcbrEQgNckz	Capodanno 2022 Baila! Latin Hits	2	95	2022-11-20	60
47Thm1tltjJVofuRumhfmi	Who is Nardo Wick?? (Deluxe)	71	183	2022-07-22	30
6tMXhYSWXf3xcbrEQgNckz	Capodanno 2022 Baila! Latin Hits	2	95	2022-11-20	60
2y9DFhTWC7QQJMvygK0TzO	Buy Dirt	70	183	2021-05-21	8
6tMXhYSWXf3xcbrEQgNckz	Capodanno 2022 Baila! Latin Hits	2	95	2022-11-20	60
6FIMt58naoGYrOe4Wn2P3n	Bam Bam (feat. Ed Sheeran)	73	182	2022-03-04	1
6tMXhYSWXf3xcbrEQgNckz	Capodanno 2022 Baila! Latin Hits	2	95	2022-11-20	60
5Jk4Eg7pxYhDrWJCVVzmMt	CHARLIE	78	182	2022-10-06	12
6tMXhYSWXf3xcbrEQgNckz	Capodanno 2022 Baila! Latin Hits	2	95	2022-11-20	60
2b2GHWESCWEuHiCZ2Skedp	Calm Down (with Selena Gomez)	81	182	2022-08-25	1
6tMXhYSWXf3xcbrEQgNckz	Capodanno 2022 Baila! Latin Hits	2	95	2022-11-20	60
4AdZV63ycxFLF6Hcol0QnB	Starboy	81	183	2016-11-24	18
18YWp9F7KWU8cYFSA7o80m	Christmas 2022 Songs	4	95	2022-11-18	25
0KTj6k94XZh0c6IEMfxeWV	Dreamland (+ Bonus Levels)	76	183	2020-08-06	18
69tpCFA80jyssTOIHDQQO8	Capodanno 2022 Pop Hits	0	89	2022-11-22	88
1WVE15Kgqj3gDfTnD1z0dy	A Smoky Mountain Christmas	23	182	2022-08-26	1
7zva9wg87euC958GKmscJz	Festa di Capodanno 2022	1	91	2022-11-20	70
3HHNR44YbP7XogMVwzbodx	Twelve Carat Toothache	82	182	2022-06-03	14
7zva9wg87euC958GKmscJz	Festa di Capodanno 2022	1	91	2022-11-20	70
2eE8BVirX9VF8Di9hD90iw	Come Home The Kids Miss You	78	182	2022-05-06	15
1B7uQCvD30tJVF3O5pQw6Z	Merry Christmas 2022	4	95	2022-11-18	40
6oECjagksATHu2UaclXrq1	Doja	78	182	2022-07-21	1
692Hr9ucjagwt9XNMVgZF6	Božični Hiti 2022	3	95	2022-11-16	50
278z9UXJaMNDH9Bel9uAxV	The Motto	73	183	2021-11-04	1
5omNd3Mkij9C3ZeW19rRmv	DESPECHÁ	80	183	2022-07-28	1
7zva9wg87euC958GKmscJz	Festa di Capodanno 2022	1	91	2022-11-20	70
6s84u2TUpR3wdUv4NgKA2j	SOUR	89	183	2021-05-21	11
69tpCFA80jyssTOIHDQQO8	Capodanno 2022 Pop Hits	0	89	2022-11-22	88
